NAME,STATE,latitude,longitude,POP_2010
Buffalo,NY,42.88644680000,-78.87836890000,261310.00000000000
Boston,MA,42.35843080000,-71.05977320000,617594.00000000000
Chicago,IL,41.85003300000,-87.65005230000,2695598.00000000000
Toledo,OH,41.66393830000,-83.55521200000,287208.00000000000
Cleveland,OH,41.49949540000,-81.69540880000,396815.00000000000
Philadelphia,PA,39.95233500000,-75.16378900000,1526006.00000000000
Pittsburgh,PA,40.44062480000,-79.99588640000,305704.00000000000
Baltimore,MD,39.29038480000,-76.61218930000,620961.00000000000
St. Louis,MO,38.62727330000,-90.19788890000,319294.00000000000
Wichita,KS,37.69223610000,-97.33754480000,382368.00000000000
New Orleans,LA,29.95464820000,-90.07507200000,343829.00000000000
Newark,NJ,40.73565700000,-74.17236670000,277140.00000000000
Milwaukee,WI,43.03890250000,-87.90647360000,594833.00000000000
Columbus,OH,39.96117550000,-82.99879420000,787033.00000000000
Cincinnati,OH,39.11466309570,-84.52968641490,296943.00000000000
Virginia Beach,VA,36.85292630000,-75.97798500000,437994.00000000000
Detroit,MI,42.33142700000,-83.04575380000,713777.00000000000
Washington,DC,38.89511180000,-77.03636580000,601723.00000000000
Minneapolis,MN,44.97996540000,-93.26383610000,382578.00000000000
Fort Wayne,IN,41.13060410000,-85.12885970000,253691.00000000000
New York,NY,40.76149275830,-73.98143111790,8175133.00000000000
Kansas City,MO,39.09972660000,-94.57856670000,459787.00000000000
St. Paul,MN,44.94441010000,-93.09327420000,285068.00000000000
Omaha,NE,41.25860960000,-95.93779200000,408958.00000000000
Lincoln,NE,40.80000110000,-96.66695990000,258379.00000000000
Greensboro,NC,36.07263550000,-79.79197540000,269666.00000000000
Atlanta,GA,33.74899540000,-84.38798240000,420003.00000000000
Raleigh,NC,35.77209600000,-78.63861450000,403892.00000000000
Charlotte,NC,35.22708690000,-80.84312680000,731424.00000000000
Jacksonville,FL,30.33218380000,-81.65565100000,821784.00000000000
Miami,FL,25.77426580000,-80.19365890000,399457.00000000000
Lexington,KY,38.04979960000,-84.45854850000,295803.00000000000
Memphis,TN,35.14953430000,-90.04898010000,646889.00000000000
Tampa,FL,27.94752160000,-82.45842790000,335709.00000000000
Denver,CO,39.73915360000,-104.98470340000,600158.00000000000
Aurora,CO,39.72943190000,-104.83191950000,325078.00000000000
Colorado Springs,CO,38.83388160000,-104.82136340000,416427.00000000000
Bakersfield,CA,35.37329210000,-119.01871250000,347483.00000000000
Albuquerque,NM,35.08449090000,-106.65113670000,545852.00000000000
Anaheim,CA,33.83529320000,-117.91450360000,336265.00000000000
Arlington,TX,32.73568700000,-97.10806560000,365438.00000000000
Dallas,TX,32.78305560000,-96.80666670000,1197816.00000000000
Austin,TX,30.26715300000,-97.74306080000,790390.00000000000
Corpus Christi,TX,27.80058280000,-97.39638100000,305215.00000000000
Portland,OR,45.52345150000,-122.67620710000,583776.00000000000
Oakland,CA,37.80437220000,-122.27080260000,390724.00000000000
Fresno,CA,36.74772720000,-119.77236610000,494665.00000000000
Henderson,NV,36.03969880000,-114.98193680000,257729.00000000000
Las Vegas,NV,36.17497050000,-115.13722300000,583756.00000000000
Oklahoma City,OK,35.47150760060,-97.54021068850,579999.00000000000
Long Beach,CA,33.76696230000,-118.18923480000,462257.00000000000
Los Angeles,CA,34.05223420000,-118.24368490000,3792621.00000000000
Riverside,CA,33.95334870000,-117.39615640000,303871.00000000000
Mesa,AZ,33.42226850000,-111.82264020000,439041.00000000000
Phoenix,AZ,33.44837710000,-112.07403730000,1445632.00000000000
Plano,TX,33.01984310000,-96.69888560000,259841.00000000000
Fort Worth,TX,32.72540900000,-97.32084960000,741206.00000000000
El Paso,TX,31.75871980000,-106.48693140000,649121.00000000000
Houston,TX,29.76328360000,-95.36327150000,2099451.00000000000
Seattle,WA,47.60620950000,-122.33207080000,608660.00000000000
Sacramento,CA,38.58157190000,-121.49439960000,466488.00000000000
Stockton,CA,37.95770160000,-121.29077960000,291707.00000000000
San Francisco,CA,37.77492950000,-122.41941550000,805235.00000000000
San Jose,CA,37.33938570000,-121.89495550000,945942.00000000000
Tulsa,OK,36.15792900060,-96.01655808850,391906.00000000000
Santa Ana,CA,33.74557310000,-117.86783380000,324528.00000000000
San Diego,CA,32.71532920000,-117.15725510000,1307402.00000000000
Tucson,AZ,32.22174290000,-110.92647900000,520116.00000000000
San Antonio,TX,29.42412190000,-98.49362820000,1327407.00000000000
Anchorage,AK,61.21805560000,-149.90027780000,291826.00000000000
San Juan,PR,18.46633380000,-66.10572170000,381931.00000000000
Indianapolis,IN,39.76837650000,-86.15804230000,820445.00000000000
Louisville,KY,38.25423760000,-85.75940700000,597337.00000000000
Nashville,TN,36.16588990000,-86.78444320000,601222.00000000000
The Bronx,NY,40.84992814000,-73.86617941940,1408473.00000000000
Manhattan,NY,40.78346165380,-73.96618566080,1619090.00000000000
Brooklyn,NY,40.65009286450,-73.94956366460,2565635.00000000000
Queens,NY,40.75016214070,-73.79744534870,2272771.00000000000
Staten Island,NY,40.58328072030,-74.14981237850,470728.00000000000
