,City,State,violent_crime,murder,murder_rate,MSA
0,Chicago,IL,24663,478,17.51753127,"Chicago, IL"
1,New York,NY,50088,352,4.116544521000001,"New York, NY"
2,Baltimore,MD,9542,344,55.37205514,"Baltimore, MD"
3,Houston,TX,21994,303,13.31738763,"Houston, TX"
4,Detroit,MI,11846,295,43.81893126,"Detroit, MI"
5,Los Angeles,CA,25156,282,7.116313366,"Los Angeles, CA"
6,Philadelphia,PA,16132,280,17.85930693,"Philadelphia, PA"
7,St. Louis,MO,5762,188,59.28822593,"St. Louis, MO"
8,New Orleans,LA,3736,164,41.68286961,"New Orleans, LA"
9,Washington,DC,8084,162,24.09896642,"Washington, DC"
10,Indianapolis,IN,11124,148,17.13607549,"Indianapolis, IN"
11,Milwaukee,WI,9583,145,24.15056629,"Milwaukee, WI"
12,Dallas,TX,9038,136,10.44565303,"Dallas, TX"
13,Memphis,TN,11449,135,20.51871307,"Memphis, TN"
14,Las Vegas,NV,14383,127,8.129904349,"Las Vegas, NV"
15,Phoenix,AZ,9261,112,7.180665545,"Phoenix, AZ"
16,Kansas City,MO,6709,109,23.02623935,"Kansas City, MO"
17,Jacksonville,FL,5622,97,11.184676300000001,"Jacksonville, FL"
18,Atlanta,GA,5203,94,20.22766887,"Atlanta, GA"
19,San Antonio,TX,8594,94,6.422581248999999,"San Antonio, TX"
20,Oakland,CA,6051,85,20.26313468,"Oakland, CA"
21,Louisville,KY,4300,81,11.90213798,"Louisville, KY"
22,Columbus,OH,4631,77,9.082919982,"Columbus, OH"
23,Miami,FL,4473,75,17.12449968,"Miami, FL"
24,Oklahoma City,OK,4828,73,11.57589107,"Oklahoma City, OK"
25,Nashville,TN,7245,72,10.941767,"Nashville, TN"
26,Cincinnati,OH,2761,66,22.11218247,"Cincinnati, OH"
27,Charlotte,NC,5948,61,6.94905658,"Charlotte, NC"
28,Pittsburgh,PA,2167,57,18.57464073,"Pittsburgh, PA"
29,Fort Worth,TX,4359,56,6.749175335,"Fort Worth, TX"
30,Tulsa,OK,3628,55,13.6979478,"Tulsa, OK"
31,Denver,CO,4599,53,7.766500884,"Denver, CO"
32,San Francisco,CA,6710,53,6.135807413999999,"San Francisco, CA"
33,Stockton,CA,4122,49,16.07137,"Stockton, CA"
34,Omaha,NE,2329,48,10.61355174,"Omaha, NE"
35,Minneapolis,MN,4395,47,11.3669618,"Minneapolis, MN"
36,Albuquerque,NM,5406,43,7.682398909,"Albuquerque, NM"
37,Sacramento,CA,3611,43,8.780581437999999,"Sacramento, CA"
38,Buffalo,NY,2887,41,15.88556196,"Buffalo, NY"
39,Fresno,CA,2871,39,7.487947285,"Fresno, CA"
40,Boston,MA,4702,38,5.712069603,"Boston, MA"
41,San Diego,CA,5582,37,2.641975855,"San Diego, CA"
42,Long Beach,CA,2766,36,7.557975974,"Long Beach, CA"
43,Tampa,FL,2298,34,9.33084145,"Tampa, FL"
44,Tucson,AZ,3472,31,5.85264549,"Tucson, AZ"
45,San Jose,CA,3400,30,2.908504273,"San Jose, CA"
46,Wichita,KS,3839,27,6.926202593999999,"Wichita, KS"
47,Anchorage,AK,3226,26,8.631020552,"Anchorage, AK"
48,Greensboro,NC,1707,26,9.092498689,"Greensboro, NC"
49,Colorado Springs,CO,1983,25,5.525960965,"Colorado Springs, CO"
50,Fort Wayne,IN,984,25,9.626047314,"Fort Wayne, IN"
51,Aurora,CO,1660,24,6.662280665,"Aurora, CO"
52,Toledo,OH,3156,24,8.585164835,"Toledo, OH"
53,Austin,TX,3497,23,2.450123998,"Austin, TX"
54,Seattle,WA,4093,23,3.3640485589999995,"Seattle, WA"
55,Bakersfield,CA,1810,22,5.884130767,"Bakersfield, CA"
56,Virginia Beach,VA,626,19,4.196140875,"Virginia Beach, VA"
57,Anaheim,CA,1271,18,5.15064197,"Anaheim, CA"
58,Corpus Christi,TX,2092,17,5.241639585,"Corpus Christi, TX"
59,El Paso,TX,2515,17,2.477855984,"El Paso, TX"
60,Mesa,AZ,1972,16,3.396782398,"Mesa, AZ"
61,St. Paul,MN,2115,16,5.320546287,"St. Paul, MN"
62,Lexington,KY,1044,15,4.775898904,"Lexington, KY"
63,Santa Ana,CA,1626,12,3.557621611,"Santa Ana, CA"
64,Riverside,CA,1441,10,3.09536191,"Riverside, CA"
65,Arlington,TX,1946,8,2.0641698809999998,"Arlington, TX"
66,Henderson,NV,476,4,1.4156586000000002,"Henderson, NV"
67,Plano,TX,433,4,1.4135874019999999,"Plano, TX"
68,Lincoln,NE,1025,1,0.3615525065,"Lincoln, NE"
